      122     3141     3140       34       34   1.3985   1.4089    
      123     3192     3191       35       35   1.4105   1.4166    
      124     3243     3242       36       36   1.4209   1.4239    
      125     3294     3292       37       37   1.4264   1.4273    
      126     3345     3343       37       37   1.4314   1.4310    
      127     3396     3394       38       38   1.4357   1.4346    
      128     3448     3446       39       39   1.4421   1.4407    
      129     3499     3497       39       39   1.4460   1.4445    
      130     3551     3549       40       40   1.4511   1.4498    
      131     3603     3601       41       41   1.4532   1.4522    
      132     3654     3652       41       41   1.4565   1.4557    
      133     3706     3705       42       42   1.4601   1.4626    
      134     3758     3757       43       43   1.4635   1.4676    
      135     3810     3809       44       44   1.4634   1.4710    
      136     3862     3862       44       44   1.4643   1.4792    
      137     3915     3915       45       45   1.4778   1.4832    
      138     3969     3968       46       45   1.4850   1.4873    
      139     4022     4022       46       46   1.4909   1.4942    
      140     4075     4075       47       47   1.4953   1.4958    
      141     4128     4129       48       48   1.4954   1.5034    
      142     4180     4182       49       48   1.4929   1.5044    
      143     4233     4235       49       49   1.4924   1.5046    
      144     4287     4288       50       50   1.4990   1.5073    
      145     4341     4342       51       51   1.5061   1.5112    
      146     4395     4396       51       51   1.5156   1.5154    
      147     4450     4450       52       52   1.5256   1.5192    
      148     4505     4505       53       53   1.5317   1.5255    
      149     4560     4559       54       54   1.5380   1.5295    
      150     4614     4614       55       54   1.5406   1.5318    
      151     4669     4667       55       55   1.5439   1.5298    
      152     4724     4722       56       56   1.5443   1.5316    
      153     4778     4776       57       57   1.5428   1.5323    
      154     4833     4831       57       57   1.5466   1.5385    
      155     4888     4886       58       58   1.5499   1.5410    
      156     4943     4941       59       59   1.5526   1.5473    
      157     4998     4995       60       60   1.5486   1.5459    
      158     5053     5050       61       61   1.5503   1.5493    
      159     5108     5106       61       61   1.5550   1.5552    
      160     5164     5162       62       62   1.5611   1.5619    
      161     5220     5218       63       63   1.5672   1.5713    
      162     5276     5276       64       64   1.5727   1.5874    
      163     5332     5333       64       64   1.5772   1.5964    
      164     5388     5390       65       65   1.5808   1.6005    
      165     5446     5448       66       66   1.5924   1.6104    
      166     5503     5505       67       67   1.6015   1.6134    
      167     5550     5552       68       68   1.5321   1.5362    
      168     5575     5576       68       68   1.3218   1.3210    
      169     5580     5581       69       69   1.0256   1.0221    
      170     5572     5572       70       70   0.7088   0.7041    
      171     5556     5556       70       71   0.4141   0.4092    
      172     5538     5533       71       71   0.1789   0.1411    MECO : separation
      173     5514     5506       72       72  -0.0332  -0.0891    
      174     5489     5501       73       73  -0.2064  -0.0995    
      175     5469     5504       74       74  -0.2929  -0.0523    
      176     5454     5514       74       74  -0.3326   0.0290    
      177     5441     5528       75       75  -0.3410   0.1243    
      178     5437     5545       76       76  -0.2819   0.2174    
      179     5432     5564       76       76  -0.2480   0.2993    
      180     5415     5585       77       77  -0.3052   0.3690    
      181     5379     5605       78       78  -0.4846   0.4211    
      182     5320     5626       79       79  -0.7818   0.4606    
      183     5238     5646       79       79  -1.1695   0.4885    
      184     5136     5666       80       80  -1.6042   0.5099    
      185     5025     5686       81       81  -1.9950   0.5222    
      186     4911     5705       82       81  -2.3095   0.5310    
      187     4796     5725       82       82  -2.5464   0.5368    
      188     4681     5745       83       83  -2.7224   0.5433    
      189     4569     5765       83       83  -2.8384   0.5495    
      190     4459     5785       84       84  -2.9104   0.5518    
      191     4351     5804       84       85  -2.9434   0.5517    
      192     4246     5824       85       86  -2.9534   0.5532    
      193     4141     5844       86       87  -2.9552   0.5585    
      194     4037     5865       86       87  -2.9521   0.5684    
      195     3936     5886       87       88  -2.9313   0.5770    
      196     3834     5908       88       88  -2.9208   0.5838    
      197     3733     5929       88       89  -2.9082   0.5919    
      198     3630     5951       89       90  -2.9080   0.5999    
      199     3527     5974       90       90  -2.9087   0.6070    
      200     3424     5996       90       91  -2.9130   0.6128    
      201     3320     6019       91       91  -2.9220   0.6202    
      202     3215     6041       92       92  -2.9296   0.6248    
      203     3111     6064       92       92  -2.9386   0.6303    
      204     3005     6088       93       93  -2.9536   0.6417    
      205     2899     6112       94       94  -2.9643   0.6494    
      206     2794     6136       94       94  -2.9684   0.6570    
      207     2689     6160       95       95  -2.9682   0.6638    
      208     2585     6184       95       95  -2.9656   0.6694    
      209     2480     6208       96       96  -2.9619   0.6737    
      210     2377     6233       96       96  -2.9518   0.6799    
      211     2275     6257       97       97  -2.9392   0.6834    
      212     2174     6282       97       98  -2.9174   0.6880    
      213     2075     6307       98       98  -2.8896   0.6928    
      214     1978     6333       98       99  -2.8491   0.7002    
      215     1883     6358       99       99  -2.8088   0.7053    
      216     1791     6384       99      100  -2.7576   0.7116    
      217     1708     6409       99      100  -2.6542   0.7087    
      218     1624     6435      100      101  -2.5863   0.7191    
      219     1546     6462      100      102  -2.4916   0.7300    
      220     1475     6489      101      102  -2.3704   0.7369    
      221     1413     6516      101      103  -2.2164   0.7438    
      222     1361     6543      101      103  -2.0299   0.7500    
      223     1323     6570      102      104  -1.7869   0.7552    
      224     1295     6597      102      104  -1.5374   0.7591    
      225     1281     6624      103      105  -1.2473   0.7620    
      226     1283     6652      103      105  -0.9193   0.7700    
      227     1300     6681      103      106  -0.5652   0.7770    
      228     1315     6709      104      106  -0.3161   0.7828    
      229     1323     6737      104      107  -0.1784   0.7872    
      230     1325     6766      104      107  -0.1165   0.7933    
      231     1323     6795      105      108  -0.1018   0.7999    
      232     1319     6824      105      108  -0.1098   0.8089    
      233     1312     6854      105      109  -0.1269   0.8155    
      234     1306     6884      105      109  -0.1383   0.8229    
      235     1296     6914      106      110  -0.1725   0.8300    
      236     1285     6944      106      110  -0.2132   0.8362    
      237     1266     6975      106      111  -0.2897   0.8472    
      238     1244     7005      106      111  -0.3755   0.8508    
      239     1220     7036      107      112  -0.4544   0.8557    
      240     1194     7067      107      112  -0.5240   0.8609    
      241     1169     7098      107      113  -0.5746   0.8657    
      242     1144     7129      107      114  -0.6058   0.8698    
      243     1120     7161      108      114  -0.6226   0.8760    
      244     1098     7193      108      114  -0.6262   0.8828    
      245     1076     7225      108      115  -0.6219   0.8892    
      246     1056     7257      108      115  -0.6104   0.8978    
      247     1037     7290      108      115  -0.5930   0.9036    
      248     1018     7322      108      116  -0.5740   0.9072    
      249     1001     7355      109      116  -0.5532   0.9122    
      250      985     7388      109      117  -0.5305   0.9174    
      251      969     7421      109      118  -0.5060   0.9223    
      252      955     7455      109      118  -0.4802   0.9294    
      253      941     7489      109      118  -0.4564   0.9371    
      254      929     7523      109      118  -0.4302   0.9443    
      255      918     7557      109      119  -0.4024   0.9504    
      256      908     7591      109      119  -0.3736   0.9552    
      257      899     7624      109      120  -0.3413   0.9527    
      258      892     7659      109      120  -0.3073   0.9584    
      259      885     7694      109      120  -0.2761   0.9652    
      260      880     7730      109      121  -0.2437   0.9780    
      261      876     7765      109      121  -0.2111   0.9837    
      262      873     7801      109      122  -0.1758   0.9908    
      263      873     7837      109      122  -0.1366   0.9979    
